industry_l1_code,industry_l1_name,industry_l2_code,industry_l2_name,industry_l3_code,industry_l3_name,industry_l4_code,industry_l4_name
20,工业,2010,资本货物,201070,工业机械,20107010,仪器仪表
20,工业,2010,资本货物,201070,工业机械,20107020,通用机械
20,工业,2010,资本货物,201070,工业机械,20107030,专用机械
20,工业,2020,商业服务与商业用品,202010,商业服务,20201010,人力资源服务
20,工业,2020,商业服务与商业用品,202010,商业服务,20201020,检测认证服务
20,工业,2020,商业服务与商业用品,202010,商业服务,20201030,其他商业服务
20,工业,2020,商业服务与商业用品,202020,商业用品,20202010,办公用品
20,工业,2020,商业服务与商业用品,202020,商业用品,20202020,其他商业用品
20,工业,2030,运输,203010,航空货运与物流,20301010,航空货运
20,工业,2030,运输,203010,航空货运与物流,20301020,物流
20,工业,2030,运输,203020,航空公司,20302010,航空公司
20,工业,2030,运输,203030,海运,20303010,海运
20,工业,2030,运输,203040,公路与铁路运输,20304010,公路运输
20,工业,2030,运输,203040,公路与铁路运输,20304020,铁路运输
20,工业,2030,运输,203050,交通基础设施,20305010,机场
20,工业,2030,运输,203050,交通基础设施,20305020,港口
20,工业,2030,运输,203050,交通基础设施,20305030,高速公路
25,可选消费,2510,汽车与汽车零部件,251010,汽车,25101010,乘用车
25,可选消费,2510,汽车与汽车零部件,251010,汽车,25101020,商用车
25,可选消费,2510,汽车与汽车零部件,251010,汽车,25101030,新能源汽车
25,可选消费,2510,汽车与汽车零部件,251020,汽车零部件,25102010,汽车零部件
25,可选消费,2510,汽车与汽车零部件,251020,汽车零部件,25102020,轮胎
25,可选消费,2520,耐用消费品与服装,252010,家居装饰,25201010,家居装饰
25,可选消费,2520,耐用消费品与服装,252020,家用电器,25202010,白电
25,可选消费,2520,耐用消费品与服装,252020,家用电器,25202020,黑电
25,可选消费,2520,耐用消费品与服装,252020,家用电器,25202030,小家电
25,可选消费,2520,耐用消费品与服装,252030,消费电子产品,25203010,消费电子
25,可选消费,2520,耐用消费品与服装,252040,家庭耐用消费品,25204010,厨房电器
25,可选消费,2520,耐用消费品与服装,252040,家庭耐用消费品,25204020,其他家庭耐用消费品
25,可选消费,2520,耐用消费品与服装,252050,休闲设备与用品,25205010,休闲设备
25,可选消费,2520,耐用消费品与服装,252050,休闲设备与用品,25205020,休闲用品
25,可选消费,2520,耐用消费品与服装,252060,纺织、服装与奢侈品,25206010,纺织
25,可选消费,2520,耐用消费品与服装,252060,纺织、服装与奢侈品,25206020,服装
25,可选消费,2520,耐用消费品与服装,252060,纺织、服装与奢侈品,25206030,奢侈品
25,可选消费,2530,消费者服务,253010,酒店、餐馆与休闲,25301010,酒店
25,可选消费,2530,消费者服务,253010,酒店、餐馆与休闲,25301020,餐饮
25,可选消费,2530,消费者服务,253010,酒店、餐馆与休闲,25301030,旅游服务
25,可选消费,2530,消费者服务,253020,综合消费者服务,25302010,教育服务
25,可选消费,2530,消费者服务,253020,综合消费者服务,25302020,其他消费者服务
25,可选消费,2540,零售业,254010,百货商店,25401010,百货商店
25,可选消费,2540,零售业,254020,互联网零售,25402010,互联网零售
25,可选消费,2540,零售业,254030,专卖店,25403010,专卖店
25,可选消费,2540,零售业,254040,综合零售商,25404010,综合零售商
30,必需消费,3010,食品与主要用品零售,301010,大卖场与超市,30101010,大卖场
30,必需消费,3010,食品与主要用品零售,301010,大卖场与超市,30101020,超市
30,必需消费,3010,食品与主要用品零售,301020,食品分销商,30102010,食品分销商
30,必需消费,3010,食品与主要用品零售,301030,食品零售,30103010,食品零售
30,必需消费,3020,食品、饮料与烟草,302010,酒类,30201010,白酒
30,必需消费,3020,食品、饮料与烟草,302010,酒类,30201020,啤酒
30,必需消费,3020,食品、饮料与烟草,302010,酒类,30201030,葡萄酒
30,必需消费,3020,食品、饮料与烟草,302020,软饮料,30202010,软饮料
30,必需消费,3020,食品、饮料与烟草,302030,食品加工,30203010,肉制品
30,必需消费,3020,食品、饮料与烟草,302030,食品加工,30203020,调味品
30,必需消费,3020,食品、饮料与烟草,302030,食品加工,30203030,乳制品
30,必需消费,3020,食品、饮料与烟草,302030,食品加工,30203040,其他食品加工
30,必需消费,3020,食品、饮料与烟草,302040,农产品,30204010,种植
30,必需消费,3020,食品、饮料与烟草,302040,农产品,30204020,养殖
30,必需消费,3020,食品、饮料与烟草,302040,农产品,30204030,水产养殖
30,必需消费,3020,食品、饮料与烟草,302050,烟草,30205010,烟草
30,必需消费,3030,家庭与个人用品,303010,家居用品,30301010,家居用品
30,必需消费,3030,家庭与个人用品,303020,个人用品,30302010,化妆品
30,必需消费,3030,家庭与个人用品,303020,个人用品,30302020,日化用品
35,医疗保健,3510,医疗保健设备与服务,351010,医疗保健设备,35101010,医疗设备
35,医疗保健,3510,医疗保健设备与服务,351010,医疗保健设备,35101020,医疗器械
35,医疗保健,3510,医疗保健设备与服务,351020,医疗保健用品,35102010,医疗耗材
35,医疗保健,3510,医疗保健设备与服务,351020,医疗保健用品,35102020,诊断试剂
35,医疗保健,3510,医疗保健设备与服务,351030,医疗保健服务,35103010,医院
35,医疗保健,3510,医疗保健设备与服务,351030,医疗保健服务,35103020,诊断服务
35,医疗保健,3510,医疗保健设备与服务,351040,医疗保健技术,35104010,医疗信息化
35,医疗保健,3520,制药、生物科技与生命科学,352010,生物科技,35201010,生物制品
35,医疗保健,3520,制药、生物科技与生命科学,352010,生物科技,35201020,疫苗
35,医疗保健,3520,制药、生物科技与生命科学,352020,化学制药,35202010,化学原料药
35,医疗保健,3520,制药、生物科技与生命科学,352020,化学制药,35202020,化学制剂
35,医疗保健,3520,制药、生物科技与生命科学,352030,中药,35203010,中药
40,金融,4010,银行,401010,银行,40101010,国有大型银行
40,金融,4010,银行,401010,银行,40101020,股份制银行
40,金融,4010,银行,401010,银行,40101030,城商行
40,金融,4010,银行,401010,银行,40101040,农商行
40,金融,4020,多元化金融,402010,资产管理,40201010,基金管理
40,金融,4020,多元化金融,402010,资产管理,40201020,资产管理
40,金融,4020,多元化金融,402020,投资银行与经纪,40202010,证券公司
40,金融,4020,多元化金融,402030,金融租赁,40203010,金融租赁
40,金融,4020,多元化金融,402040,其他多元化金融服务,40204010,信托
40,金融,4020,多元化金融,402040,其他多元化金融服务,40204020,小贷
40,金融,4020,多元化金融,402050,消费信贷,40205010,消费金融
40,金融,4020,多元化金融,402060,资本市场服务,40206010,投资管理
40,金融,4030,保险,403010,保险,40301010,人寿保险
40,金融,4030,保险,403010,保险,40301020,财产保险
40,金融,4030,保险,403010,保险,40301030,再保险
40,金融,4040,房地产,404010,房地产开发,40401010,房地产开发
40,金融,4040,房地产,404020,房地产管理,40402010,物业管理
40,金融,4040,房地产,404030,房地产投资信托,40403010,房地产投资信托
45,信息技术,4510,软件与服务,451010,互联网软件与服务,45101010,互联网服务
45,信息技术,4510,软件与服务,451010,互联网软件与服务,45101020,云计算服务
45,信息技术,4510,软件与服务,451020,应用软件,45102010,办公软件
45,信息技术,4510,软件与服务,451020,应用软件,45102020,行业应用软件
45,信息技术,4510,软件与服务,451030,系统软件,45103010,操作系统
45,信息技术,4510,软件与服务,451030,系统软件,45103020,数据库软件
45,信息技术,4510,软件与服务,451040,信息技术服务,45104010,IT服务
45,信息技术,4520,技术硬件与设备,452010,电脑与外围设备,45201010,电脑
45,信息技术,4520,技术硬件与设备,452010,电脑与外围设备,45201020,外围设备
45,信息技术,4520,技术硬件与设备,452020,电子设备、仪器和元件,45202010,电子元器件
45,信息技术,4520,技术硬件与设备,452020,电子设备、仪器和元件,45202020,电子仪器
45,信息技术,4520,技术硬件与设备,452030,办公电子设备,45203010,办公电子设备
45,信息技术,4520,技术硬件与设备,452040,半导体与半导体设备,45204010,半导体设计
45,信息技术,4520,技术硬件与设备,452040,半导体与半导体设备,45204020,半导体制造
45,信息技术,4520,技术硬件与设备,452040,半导体与半导体设备,45204030,半导体设备
45,信息技术,4520,技术硬件与设备,452050,电子元件,45205010,被动元件
45,信息技术,4520,技术硬件与设备,452050,电子元件,45205020,印制电路板
50,电信服务,5010,电信服务,501010,电信运营,50101010,电信运营
50,电信服务,5010,电信服务,501020,电信增值服务,50102010,电信增值服务
55,公用事业,5510,公用事业,551010,电力,55101010,火电
55,公用事业,5510,公用事业,551010,电力,55101020,水电
55,公用事业,5510,公用事业,551010,电力,55101030,核电
55,公用事业,5510,公用事业,551010,电力,55101040,新能源发电
55,公用事业,5510,公用事业,551020,燃气,55102010,燃气
55,公用事业,5510,公用事业,551030,水务,55103010,水务
55,公用事业,5510,公用事业,551040,环保服务,55104010,环境治理
55,公用事业,5510,公用事业,551040,环保服务,55104020,固废处理
60,房地产,6010,房地产,601010,房地产开发,60101010,住宅开发
60,房地产,6010,房地产,601010,房地产开发,60101020,商业地产开发
60,房地产,6010,房地产,601020,房地产服务,60102010,房地产中介
60,房地产,6010,房地产,601020,房地产服务,60102020,物业管理
60,房地产,6020,房地产投资信托,602010,房地产投资信托,60201010,商业地产REITs
60,房地产,6020,房地产投资信托,602010,房地产投资信托,60201020,住宅REITs
